id	status	subsystem	kind	source	expected_count	negative_source	negative_anchor	qualification_source	qualification_anchor	required_zero_effects	limitation
KSEM-GL0-001	FROZEN_GENESIS	GL0 snapshot receiver	active-pair-resolve	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/NakamotoSnapshotValidator.scala	1	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/CatchUpVerificationSuite.scala	GL0 leader identity accepts only the producer's preregistered atomic KES+VRF pair	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/CatchUpVerificationSuite.scala	GL0 leader identity accepts only the producer's preregistered atomic KES+VRF pair	Draw|Replay|Store|Adopt|Publish	Frozen period-zero lookup only; runtime branch history is not qualified.
KSEM-GL0-002	FROZEN_GENESIS	GL0 snapshot receiver	active-pair-validity	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/NakamotoSnapshotValidator.scala	1	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/CatchUpVerificationSuite.scala	GL0 leader identity accepts only the producer's preregistered atomic KES+VRF pair	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/CatchUpVerificationSuite.scala	GL0 leader identity accepts only the producer's preregistered atomic KES+VRF pair	Draw|Replay|Store|Adopt|Publish	Structural current-view check is not qualified as exact-parent historical activation.
KSEM-GL0-003	FROZEN_GENESIS	GL0 snapshot intake	gl0-snapshot-pair-resolve	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/NakamotoSyncDaemon.scala	1	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/CatchUpVerificationSuite.scala	GL0 leader identity accepts only the producer's preregistered atomic KES+VRF pair	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/CatchUpVerificationSuite.scala	GL0 leader identity accepts only the producer's preregistered atomic KES+VRF pair	Draw|Replay|Store|Adopt|Publish	Transport key is compared with frozen genesis state; runtime branch history is not qualified.
KSEM-GL0-004	FROZEN_GENESIS	GL0 snapshot intake	gl0-snapshot-kes-verify	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/NakamotoSyncDaemon.scala	1	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/KesGossipVerificationSuite.scala	snapshot: present sig + missing registry entry → no-registry-entry counter	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/KesGossipVerificationSuite.scala	snapshot: present sig + missing registry entry → no-registry-entry counter	Store|Adopt	KES verification is period-zero contained and is not qualified for historical rotation.
KSEM-GL0-005	FROZEN_GENESIS	GL0 optimistic attestation intake	active-pair-resolve	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/NakamotoSyncDaemon.scala	1	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/KesGossipVerificationSuite.scala	attestation: present sig + missing registry entry → no-registry-entry counter	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/KesGossipVerificationSuite.scala	attestation: present sig + missing registry entry → no-registry-entry counter	TrackerRecord|Store|Adopt	Current telemetry attestation identity is not qualified as the ratified sampled optimistic-finality rail.
KSEM-GL0-006	FROZEN_GENESIS	GL0 optimistic attestation intake	optimistic-kes-verify	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/NakamotoSyncDaemon.scala	1	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/KesGossipVerificationSuite.scala	attestation: present sig + wrong VK in registry → reject and increment invalid counter	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/KesGossipVerificationSuite.scala	attestation: present sig + wrong VK in registry → reject and increment invalid counter	TrackerRecord|Store|Adopt	KES-authenticated telemetry is not qualified as VRF sampling or Phase-2 authority.
KSEM-GL0-007	FROZEN_GENESIS	GL0 local signing gate	active-pair-resolve	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/LocalOperatorKeyPairGate.scala	1	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/LocalOperatorKeyPairGateSuite.scala	current-registry signing never promotes a runtime record without exact historical resolution	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/LocalOperatorKeyPairGateSuite.scala	current-registry signing never promotes a runtime record without exact historical resolution	Draw|PossessionProof|KesSign|Publish	Frozen lookup deliberately rejects runtime records; historical local-bundle selection is not qualified.
KSEM-GL0-008	FROZEN_GENESIS	GL0 local signing gate	active-pair-validity	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/LocalOperatorKeyPairGate.scala	2	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/LocalOperatorKeyPairGateSuite.scala	loaded KES secret whose master key differs from the preregistered pair is rejected	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/LocalOperatorKeyPairGateSuite.scala	loaded KES secret whose master key differs from the preregistered pair is rejected	Draw|PossessionProof|KesSign|Publish	Local KES and VRF comparison is not qualified for scheduled runtime secret bundles.
KSEM-GL0-009	FROZEN_GENESIS	GL0 snapshot producer	local-signing-capability	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/SnapshotLeaderLoop.scala	1	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/LocalOperatorKeyPairGateSuite.scala	locally derived VRF key whose bytes differ from the preregistered pair is rejected	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/LocalOperatorKeyPairGateSuite.scala	locally derived VRF key whose bytes differ from the preregistered pair is rejected	Draw|PossessionProof|KesSign|Publish	The capability is frozen-genesis only and is not qualified for exact-parent runtime activation.
KSEM-GL0-010	FROZEN_GENESIS	GL0 snapshot producer	leader-vrf-draw	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/SnapshotLeaderLoop.scala	1	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/LocalOperatorKeyPairGateSuite.scala	locally derived VRF key whose bytes differ from the preregistered pair is rejected	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/LocalOperatorKeyPairGateSuite.scala	locally derived VRF key whose bytes differ from the preregistered pair is rejected	Draw|PossessionProof|KesSign|Publish	The draw follows a frozen local-pair gate; N-2 roster and runtime rotation are not qualified.
