id,severity,status,subsystem,source_evidence,concrete_failure,required_fix,owner_packet,red_tests,dependencies
"TB-01","HIGH","CONFIRMED","Shared compressed state-channel and shard-checkpoint decoding","p2p/proto/sidecar.proto:77-87,200-225; p2p/internal/grpcserver/server.go:556-568,631-644; modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/NakamotoSyncDaemon.scala:896-911,954-979,2695-2703,2803-2817; modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointWireCodecs.scala:125-138,172-237; modules/shared/src/main/scala/io/constellationnetwork/json/JsonBrotliBinarySerializer.scala:67-73; modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/statechannel/StateChannelValidator.scala:106-147; modules/shared/src/main/scala/io/constellationnetwork/json/SizeCalculator.scala:10-16","An unauthenticated peer supplies a small Brotli payload that expands into a very large array before signature/authentication and before the existing decoded-size validation, exhausting native or JVM memory.","Add a shared bounded streaming decompressor; reject compressed input before copying when it exceeds its lane cap; enforce decompressed byte and expansion-ratio limits before JSON/Scodec allocation; retain semantic size validators as a second bound.","TR-01-shared-bounded-decompression","RED: maximum compressed and decompressed sizes succeed exactly at the boundary; boundary+1 is rejected before full allocation; a high-ratio Brotli bomb is rejected on HTTP, metagraph gossip, ChainSync-fed binary, and shard-checkpoint decode paths; invalid input never reaches signature or replay work.","None; establish the shared byte-limit API used by TR-04, TR-05, and TR-06."
"TB-02","HIGH","CONFIRMED","GossipSub-to-gRPC-to-fs2 ingress","modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/infrastructure/consensus/nakamoto/GossipStream.scala:35-67; modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/NakamotoSyncDaemon.scala:869-979; p2p/internal/gossip/gossip.go:793-822","A gossip flood is copied into an unbounded JVM queue and can cause unbounded callback backlog/fiber creation while expensive message handling falls behind, leading to heap exhaustion or validator liveness loss.","Use bounded per-message-family queues, grpc-java manual inbound demand tied to available capacity, bounded parEvalMap concurrency, explicit overload drop/defer policy by family, and queue/drop/in-flight metrics.","TR-02-bounded-gossip-concurrency","RED: flood every message family while handlers are blocked; queue depth and active handlers never exceed configured limits; manual demand stops; state-validity/checkpoint messages follow their ratified no-drop or pull-recovery policy; shutdown and reconnect leave no blocked producers or zombie streams.","TR-01 for bounded decode at the consumer boundary; otherwise independently implementable."
"TB-03","HIGH","CONFIRMED","Shard checkpoint construction and GossipSub publication","modules/node-shared/src/main/resources/application.conf:43,514-519; modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/nakamoto/sharding/ShardBinaryBuffer.scala:160-217,237-244; modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointProducer.scala:66-112,391-449,459-553,585-612,631-668; p2p/internal/grpcserver/server.go:306-327; pubsub.go:28-29,467-479","Count-bounded binary accumulation can construct a serialized checkpoint above GossipSub's 1 MiB frame limit; publication failure is swallowed while the exact oversized checkpoint remains held and republished forever, halting that shard.","Select a deterministic per-metagraph-ordered prefix by exact encoded protobuf byte budget with fixed envelope/signature headroom; reject any individually unpublishable binary; return a typed publish result and release or deterministically rebuild a permanently unpublishable held checkpoint without skipping inputs.","TR-03-deterministic-checkpoint-byte-batching","RED: adversarial binary sizes and map layouts produce the same maximal prefix on every node; encoded checkpoint stays within the 1 MiB GossipSub limit including all signatures; an individually oversized input is quarantined deterministically; permanent too-large publication does not retain/retry the same checkpoint forever; transient failures preserve byte identity.","TR-01 for compressed/decompressed lane limits; freeze the actual GossipSub 1 MiB and gRPC 4 MiB framing constants in tests."
"TB-04","HIGH","CONFIRMED","Watchtower fraud-proof gossip and replay adjudication","p2p/proto/sidecar.proto:280-289; modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/infrastructure/sharding/FraudProofWireCodecs.scala:61-92; modules/shared/src/main/scala/io/constellationnetwork/schema/sharding/FraudProofEnvelope.scala:45-57,72-102; modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/NakamotoSyncDaemon.scala:2517-2581; modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/nakamoto/slashing/InvalidStateProofValidator.scala:119-193","An unauthenticated sender can vary non-identity hint/witness bytes and repeatedly trigger full checkpoint replay for the same dispute, turning fraud adjudication into a remote CPU and data-fetch oracle.","Require deterministic watchtower eligibility and bond/admission before replay; validate exact field lengths before crypto; single-flight and cache by (shardId, disputedCheckpointHash, metagraphAddress) excluding attacker-controlled hints; bound concurrent replay, work, fetches, and negative-cache lifetime.","TR-04-fraud-replay-eligibility-single-flight","RED: many envelopes for one dispute with varied hints trigger at most one replay; ineligible/unbonded and wrong-length claims cause zero replay/fetch; distinct eligible disputes respect global and per-peer concurrency/work budgets; a failed or missing-data replay defers without slash and does not pin single-flight forever.","TR-01 for bounded witness/envelope decoding; TR-02 for bounded gossip scheduling; protocol owner must ratify eligibility/bond and retry policy."
"TB-05","HIGH","CONFIRMED","Authenticated GlobalFollow HTTP server/client and changeset serialization","modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/modules/HttpApi.scala:339-368; modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/http/routes/GlobalFollowRoutes.scala:76-83,127-136; modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/nakamoto/GlobalChangeSetService.scala:99-120; modules/node-shared/src/main/resources/application.conf:394-410; modules/shared/src/main/scala/io/constellationnetwork/serde/codecs/instances/GlobalChangeSetResponseCodec.scala:31-53; modules/shared/src/main/scala/io/constellationnetwork/serde/codecs/instances/StateChangesAccumulatorCodec.scala:95-176; modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/http/p2p/middlewares/PeerAuthMiddleware.scala:86-115; modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/http/p2p/clients/GlobalFollowClient.scala:57-60,86-104; modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/http/p2p/PeerResponse.scala:61-83","An authenticated or compromised peer can request or return an unbounded accumulated changeset that is fully materialized and buffered on both server and client, exhausting heap/CPU before retention or response-size policy stops it.","Define byte-based pagination with hash-bound continuation, cap requested ordinal span and output bytes before materialization, stream encoding/decoding, limit per-peer concurrent generation, authenticate before expensive work, and enforce symmetric server/client response caps before buffering.","TR-05-global-follow-server-client-caps","RED: a retained history larger than one page yields deterministic byte-bounded pages and verified continuation; oversized/malformed responses fail before full buffering; requested span and concurrent page generation are bounded; auth failure performs no changeset scan; client and server enforce the same maximum.","TR-01 if compressed responses are retained; exact Phase-2 hash/reorg semantics and continuation preimage must already be frozen."
"TB-06","HIGH","CONFIRMED","Public state-channel HTTP ingestion","modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/modules/HttpApi.scala:339-368; modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/http/routes/StateChannelRoutes.scala:89-112; modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/statechannel/StateChannelValidator.scala:106-147; modules/shared/src/main/scala/io/constellationnetwork/json/SizeCalculator.scala:10-16; modules/node-shared/src/main/resources/application.conf:40-44","A public client can stream an unbounded raw POST body that http4s materializes before the validator checks the decoded state-channel binary size, exhausting memory without possessing any metagraph key.","Apply a streaming raw-entity byte cap at the route/server boundary before decoding; use TR-01 bounded decompression; separately cap decoded framework/custom content and reject trailing or multi-value bodies.","TR-06-http-raw-body-cap","RED: chunked and Content-Length bodies at limit succeed and limit+1 terminate early; missing or false Content-Length cannot bypass the cap; compressed bombs hit the decompressed cap; rejection occurs before Circe decode, hashing, signature checks, or queue insertion.","TR-01 shared bounded decompression and lane limits; coordinate route-wide middleware placement with TR-05 without sharing mutable implementation ownership."
"TB-07","MEDIUM","CONFIRMED","Shard execution-certificate wire decoding and GL0 acceptance precheck","p2p/proto/sidecar.proto:200-209; modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointWireCodecs.scala:216-235; modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/infrastructure/snapshot/managers/global/ShardCheckpointGl0AcceptanceManager.scala:315-335,380-455","A checkpoint can carry arbitrarily many duplicate or impossible committee signatures and oversized crypto fields; acceptance performs repeated expensive verification before the later distinct-signer quorum check rejects it.","Before any signature/KES/VRF verification require signature count <= derived committee size, exact crypto field lengths, unique peer IDs, and membership; preserve canonical signer ordering and then run each expensive verification once.","TR-07-duplicate-committee-precheck","RED: duplicate peer IDs, count above committee size, nonmembers, and every wrong field length cause zero crypto-verifier calls; a canonical unique committee certificate verifies each signer exactly once; precheck result is permutation-independent or noncanonical ordering is rejected explicitly.","TR-03 checkpoint wire-size budget and canonical signer envelope; replay-before-sign capability work must remain behaviorally unchanged."
"TB-08","HIGH","CONFIRMED","libp2p ChainSync request/response relay","p2p/internal/chainsync/protocol.go:32-38,92-133,411-451,459-462,491-508,602-612; p2p/internal/grpcserver/server.go:768-784; modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/ChainSyncServer.scala:301-341","Although one ChainSync frame is capped at 16 MiB, inbound count/range policy is not enforced consistently and a peer can induce unbounded aggregate JVM work or stream many uncorrelated responses, exhausting CPU, disk, memory, or stream slots.","Enforce per-peer rate/concurrency, request count/span, exact hash lengths, and overflow-safe range checks at the first sidecar boundary and again in the JVM; serve ranges in O(1) memory; cap aggregate response count/bytes/time and require exact request-to-response hash/range correlation.","TR-08-chainsync-request-response-bounds","RED: >64 hashes, invalid hash lengths, reversed/overflowing/oversized ranges, excess request rate, excess response count/bytes, and unrequested hashes are rejected at the first boundary; maximum legal ranges stream in constant memory; slowloris reads/writes expire; cancellation releases every permit.","Freeze the existing 16 MiB per-frame ceiling; reuse only immutable byte-limit primitives from TR-01, otherwise independently implementable."
"TB-L01","LOW","CONFIRMED","Latent Scodec uint32 length conversion","modules/shared/src/main/scala/io/constellationnetwork/serde/codecs/ByteArrayCodec.scala:17-19; modules/shared/src/main/scala/io/constellationnetwork/serde/codecs/instances/StateChannelSnapshotBinaryCodec.scala:20-31; modules/shared/src/main/scala/io/constellationnetwork/serde/codecs/instances/CurrencyRecordCodecs.scala:64-90","LATENT / NOT REMOTELY REACHABLE TODAY: a uint32 length above Int.MaxValue is narrowed with toInt and can become negative or otherwise enter invalid allocation/decoder behavior if a future transport permits such bytes.","Replace unchecked uint32-to-Int mapping with an exmap that rejects values above the protocol maximum and Int.MaxValue before allocation; use lane-specific finite maxima rather than the representable uint32 maximum.","TR-09-latent-uint32-int-bounds","RED: 0x7fffffff follows the configured protocol cap; 0x80000000 and 0xffffffff return typed decode failures without allocation or exception; current state-channel and currency record round trips remain canonical.","Not remotely reachable under current GossipSub 1 MiB, gRPC 4 MiB, and ChainSync 16 MiB framing; schedule after TR-01 establishes lane maxima."
"TB-L02","LOW","CONFIRMED","Latent Brotli-compressed persistence codec","modules/shared/src/main/scala/io/constellationnetwork/serde/storage/BrotliPersistable.scala:47-64","LATENT / NOT REMOTELY REACHABLE TODAY: persisted Brotli bytes are fully decompressed into an unbounded array before Scodec decoding, so corrupted or adversarially replaced local storage could cause memory exhaustion during load.","Use the shared bounded streaming decompressor with a persisted-value maximum and expansion-ratio limit; fail with a typed SerdeError before full allocation.","TR-10-latent-brotli-persistable-bound","RED: a local compressed bomb and boundary+1 persisted value return SerdeError without full allocation; boundary values and existing persisted fixtures round-trip byte-for-byte; no network test labels this path remotely reachable.","TR-01 shared bounded decompression; current call sites are test/local persistence only and no remote reachability was found."
