id	family	authority_key	current_source_evidence	source_marker	source_marker_count	live_consumer_evidence	consumer_marker	consumer_marker_count	effect	target_authority	status
CFG-GL0-001	NAKAMOTO_HOCON_CONSENSUS	NAKAMOTO_CONFIRMATION_DEPTH	modules/node-shared/src/main/resources/application.conf:301	NAKAMOTO_CONFIRMATION_DEPTH	2	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:1853	confirmationDepthK = sharedCfg.nakamoto.confirmationDepthK	2	Changes depth-k1 finality fallback and derives eta rotation fork-choice lookback and retention	ROOTED_CONSENSUS_PARAMETER_OBJECT	OPEN_CONSENSUS_AUTHORITY
CFG-GL0-002	NAKAMOTO_HOCON_CONSENSUS	NAKAMOTO_SLOT_DURATION_MS	modules/node-shared/src/main/resources/application.conf:309	NAKAMOTO_SLOT_DURATION_MS	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:1857	slotDurationMs = sharedCfg.nakamoto.slotDurationMs.value	1	Changes the GL0 slot grid and execution-shard duty timing	ROOTED_CONSENSUS_PARAMETER_OBJECT	OPEN_CONSENSUS_AUTHORITY
CFG-GL0-003	NAKAMOTO_HOCON_CONSENSUS	NAKAMOTO_LDD_CUTOFF	modules/node-shared/src/main/resources/application.conf:319	NAKAMOTO_LDD_CUTOFF	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:809	lddCutoff = sharedCfg.nakamoto.ldd.cutoff	1	Changes LDD leader eligibility	ROOTED_CONSENSUS_PARAMETER_OBJECT	OPEN_CONSENSUS_AUTHORITY
CFG-GL0-004	NAKAMOTO_HOCON_CONSENSUS	NAKAMOTO_LDD_OFFSET	modules/node-shared/src/main/resources/application.conf:321	NAKAMOTO_LDD_OFFSET	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:810	offset = sharedCfg.nakamoto.ldd.offset	1	Changes LDD leader eligibility	ROOTED_CONSENSUS_PARAMETER_OBJECT	OPEN_CONSENSUS_AUTHORITY
CFG-GL0-005	NAKAMOTO_HOCON_CONSENSUS	NAKAMOTO_LDD_BASELINE	modules/node-shared/src/main/resources/application.conf:323	NAKAMOTO_LDD_BASELINE	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:811	baselineDifficulty = sharedCfg.nakamoto.ldd.baseline	1	Changes LDD leader eligibility	ROOTED_CONSENSUS_PARAMETER_OBJECT	OPEN_CONSENSUS_AUTHORITY
CFG-GL0-006	NAKAMOTO_HOCON_CONSENSUS	NAKAMOTO_LDD_AMPLITUDE	modules/node-shared/src/main/resources/application.conf:325	NAKAMOTO_LDD_AMPLITUDE	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:812	amplitude = sharedCfg.nakamoto.ldd.amplitude	1	Changes LDD leader eligibility	ROOTED_CONSENSUS_PARAMETER_OBJECT	OPEN_CONSENSUS_AUTHORITY
CFG-GL0-007	NAKAMOTO_HOCON_GENESIS	NAKAMOTO_GENESIS_TIME_MS	modules/node-shared/src/main/resources/application.conf:333	NAKAMOTO_GENESIS_TIME_MS	2	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:792	val configured = sharedCfg.nakamoto.genesisTimeMs.value	1	Locally chooses the GL0 slot-grid origin without a genesis commitment and zero activates the separately inventoried receiver-clock fallback	GENESIS_COMMITMENT	OPEN_CONSENSUS_AUTHORITY
CFG-GL0-008	NAKAMOTO_HOCON_STALE	NAKAMOTO_GENESIS_ETA	modules/node-shared/src/main/resources/application.conf:338	NAKAMOTO_GENESIS_ETA	1	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/config/types.scala:110	genesisEtaSeed: String	1	Is decoded but live GL0 genesis eta uses a separate hard-coded byte string	REMOVE_UNUSED	STALE_UNUSED
CFG-GL0-009	NAKAMOTO_HOCON_FINALITY	NAKAMOTO_SNOWBALL_BETA	modules/node-shared/src/main/resources/application.conf:344	NAKAMOTO_SNOWBALL_BETA	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:893	snowballBeta = sharedCfg.nakamoto.snowballBeta.value	1	Changes the non-authoritative optimistic accumulator while only depth-k1 mutates Phase 2 today	ROOTED_FINALITY_EVIDENCE_PARAMETER	DARK_TELEMETRY
CFG-QOS-001	NAKAMOTO_HOCON_QOS	NAKAMOTO_ORPHAN_BUFFER_CAP	modules/node-shared/src/main/resources/application.conf:352	NAKAMOTO_ORPHAN_BUFFER_CAP	2	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:1323	cap = sharedCfg.nakamoto.orphanBufferCap.value	1	Bounds orphan custody and can cause local intake drops	LOCAL_QOS	LOCAL_QOS_ONLY
